income,age,marital,race,sex
83751,52,1,1,1
58569,55,1,1,1
13510,49,7,2,2
14976,41,7,2,2
30586,56,1,1,1
25226,72,4,1,2
54708,71,1,1,2
20488,41,1,1,1
10149,29,1,1,1
80989,60,1,1,2
44269,53,3,1,1
30000,56,5,1,1
68770,41,1,1,1
69267,67,1,1,1
94278,54,1,1,1
41853,84,1,1,1
38143,77,6,2,2
7818,83,4,2,2
14640,68,1,1,2
55123,65,1,1,1
49100,58,1,1,2
122461,38,1,1,2
81300,30,2,1,2
20700,38,5,1,2
9906,74,4,4,2
31203,42,1,1,1
85585,48,1,1,1
40563,44,1,1,2
60500,27,1,1,2
48060,49,1,1,1
45014,36,1,1,2
51366,37,1,1,1
35000,45,1,1,1
9802,47,1,1,1
40100,43,7,1,1
24672,68,1,2,2
121743,42,1,1,1
14113,57,1,1,1
12567,85,4,1,2
78522,46,1,1,1
34000,46,1,1,1
125130,56,1,1,1
13558,82,4,1,1
39399,34,7,1,1
61819,37,1,1,1
46800,34,7,1,1
45397,33,1,1,1
41760,20,7,1,2
61000,43,1,1,1
23208,35,7,2,2
110600,48,1,2,1
277104,43,1,1,2
44750,44,1,2,1
38000,47,1,1,2
30900,29,7,1,1
19764,28,4,1,2
257417,41,1,1,2
60144,50,3,2,2
50522,43,1,1,1
145000,32,1,1,2
84038,45,1,1,1
62150,34,1,1,1
65650,29,1,1,1
58865,28,1,1,1
11304,59,5,1,2
15336,81,4,1,2
26030,27,7,1,2
9763,27,7,2,2
10746,90,4,1,1
374947,65,1,1,1
411232,56,1,1,1
24819,71,1,1,1
257315,40,1,1,1
98250,36,1,1,2
119200,43,7,1,1
33200,31,7,2,2
88493,42,7,1,1
56746,70,1,1,1
20792,68,1,1,2
23260,68,1,1,2
36500,46,7,2,2
68700,58,7,4,2
23600,44,7,1,2
29646,66,1,1,2
33010,38,5,1,2
142836,47,1,1,1
100207,49,1,1,2
42286,16,7,1,2
22000,35,5,1,1
26692,72,1,1,2
22000,21,7,1,1
70000,45,1,1,1
21046,73,1,1,1
23414,78,4,1,2
16572,74,1,1,1
21468,39,7,1,2
55883,53,5,1,2
32315,46,7,1,2
29207,40,7,1,2
34539,45,4,1,2
17407,69,1,1,2
53314,59,1,1,1
56120,56,1,1,2
38080,77,4,1,2
20010,48,5,1,2
286038,47,1,1,2
145718,55,1,1,1
35000,57,4,2,2
88250,30,7,1,1
2600,44,3,2,2
9958,88,4,2,2
74808,73,1,1,1
113500,46,1,1,2
60447,62,1,1,1
24596,66,1,1,1
24666,80,1,1,2
19240,52,3,4,1
12102,33,7,1,2
47002,21,1,1,2
8826,76,4,1,2
41014,27,1,1,2
50500,48,1,1,1
73148,47,1,1,1
14840,38,7,1,2
78208,46,1,4,2
57302,75,1,1,2
12597,85,4,2,1
21600,41,5,1,2
37986,30,1,1,2
9052,67,4,1,2
48500,29,1,1,1
44953,30,1,1,1
42704,34,7,1,1
17600,67,4,2,2
50300,81,4,1,2
22644,90,1,1,1
37740,52,5,1,2
7200,35,7,1,1
19676,19,7,3,1
7213,72,4,1,2
31560,31,1,1,1
8899,75,4,1,2
5443,71,4,1,2
100200,44,1,1,1
49240,42,5,1,2
98169,58,5,1,1
18581,30,7,1,2
4716,21,7,2,2
73050,37,7,1,1
36500,30,7,1,1
28006,39,7,1,2
57570,26,7,1,1
29000,23,7,1,2
53000,26,7,1,1
43365,70,1,1,2
11041,70,4,1,2
61680,29,1,1,2
27656,88,4,1,2
25796,71,4,1,2
16694,71,3,1,1
66000,27,7,2,1
49920,19,7,1,2
17808,64,5,1,1
18780,44,1,1,1
80376,47,7,1,1
79000,56,1,1,2
14288,76,1,1,1
65116,37,1,1,1
47648,27,5,1,1
131704,33,7,1,2
61516,82,1,1,1
21922,79,1,1,2
70197,71,1,1,1
196000,49,1,1,1
57022,56,1,1,1
2650,20,7,1,2
23200,19,7,1,1
1175,56,1,1,1
11318,82,4,1,2
89000,50,1,1,1
40338,51,1,1,2
21372,75,7,1,2
164752,45,1,1,1
27010,43,5,1,2
37232,54,1,1,1
15094,65,4,1,2
22632,73,1,1,1
68590,44,1,1,1
25200,63,1,1,1
36423,70,7,1,2
14118,73,5,1,2
96745,45,1,1,1
98585,82,1,1,1
46272,27,1,1,1
207008,50,1,2,2
43836,53,1,1,1
84950,39,1,1,1
76500,47,1,1,1
8312,80,7,1,2
20042,41,7,1,1
36083,69,1,1,2
37706,64,1,1,2
18280,32,1,1,1
22800,31,1,1,1
17040,29,1,1,1
64925,60,1,1,1
118000,45,1,1,1
26010,45,6,1,1
48817,65,1,1,1
49000,37,4,1,2
89502,58,5,1,2
12000,48,7,1,1
67580,69,1,1,1
40692,71,1,1,1
107571,44,4,1,2
96010,35,1,1,1
6100,24,7,3,2
58388,27,7,1,2
37398,76,1,1,1
63788,63,1,1,1
20388,37,4,2,2
47000,33,7,1,1
26054,84,4,1,2
8940,42,5,1,1
51486,68,1,1,1
91590,57,1,1,1
68858,52,1,1,2
35000,48,1,1,1
40894,41,5,1,1
88228,40,1,1,1
75056,37,1,1,2
121620,40,5,1,1
45478,52,1,1,1
60406,43,1,1,1
66776,68,1,1,1
24310,61,5,1,1
24020,19,7,1,1
24500,33,7,2,2
21010,74,4,1,2
32157,47,1,1,2
31116,47,1,1,1
51454,54,1,1,1
35000,45,1,1,1
56100,24,1,1,2
19082,38,5,1,2
20658,85,4,1,2
33500,65,5,1,2
96039,54,1,1,1
61382,46,1,1,2
35500,67,1,1,1
13260,52,1,1,1
5700,54,4,1,2
11016,65,1,1,1
24276,41,1,1,1
113836,55,1,1,2
117500,40,1,1,2
80372,57,1,1,2
20134,66,1,1,1
30380,72,4,1,2
221008,59,1,2,1
13660,55,5,1,1
50632,73,1,1,2
7000,62,4,1,2
80110,26,1,1,1
15000,64,1,1,1
103598,41,1,1,2
102652,38,1,1,1
56055,43,4,1,2
49438,41,1,1,1
107330,57,5,2,2
153800,37,1,1,1
99840,31,1,1,1
151000,43,1,1,2
152500,37,1,1,1
31300,22,1,2,1
41177,53,5,1,2
298724,40,1,1,1
66435,32,1,1,1
70800,38,1,1,1
29060,69,1,1,1
66831,38,1,1,1
22406,77,5,1,2
21156,85,4,1,2
3917,75,4,2,2
22146,90,4,2,2
87050,51,1,2,1
21883,83,4,1,2
22897,60,5,2,2
19626,56,1,1,2
20800,30,1,1,1
66001,46,5,1,1
33600,60,1,1,1
27854,76,4,1,1
54777,35,1,1,2
33352,22,7,1,1
65812,48,1,1,2
29000,50,7,2,2
19000,26,1,2,1
28654,49,7,1,2
104050,45,1,1,1
52160,41,1,1,1
71514,52,1,1,1
81300,49,1,1,2
47485,44,5,1,2
109800,62,1,1,1
96378,85,4,1,1
37046,70,4,1,2
23199,84,4,1,2
158000,34,1,1,1
42692,69,1,1,1
54206,61,1,1,1
44444,90,7,1,2
18198,69,5,1,1
21295,43,6,1,2
249000,61,1,1,1
241339,49,6,1,1
49012,37,1,1,1
44640,59,5,1,2
28120,50,5,1,1
30643,72,5,1,1
48000,39,7,1,1
36384,40,7,1,1
21140,45,7,1,1
106060,55,1,1,1
78196,46,1,1,1
25007,23,1,1,1
74509,32,7,1,1
12400,57,4,1,2
39250,37,1,1,1
15102,70,1,1,1
17503,81,4,1,2
12925,67,5,1,2
35100,28,7,1,1
42556,49,5,1,2
27864,61,1,1,2
11900,31,1,1,1
13646,44,7,1,1
154544,60,1,1,2
72135,51,1,1,1
17016,75,1,1,2
43034,59,1,1,2
23825,32,7,4,1
62887,60,7,1,1
105305,37,1,2,2
41383,82,4,1,2
36744,38,5,1,2
13000,26,7,1,2
107442,67,1,1,1
12313,72,4,1,1
72840,68,1,1,1
13728,65,1,2,2
80971,50,5,2,2
75870,55,1,1,1
25703,71,1,2,2
15010,62,1,1,2
167409,42,1,1,1
78075,54,1,1,1
72065,38,1,1,1
130200,34,3,1,2
