,trial,dataset,epsilon,scale,domain,GreedyH,Opt
385,10,HEPTH,1.0,100000,256,5.86511825969,9.05146272545
386,11,HEPTH,1.0,100000,256,9.35117426202,8.34662241905
387,12,HEPTH,1.0,100000,256,17.5776836042,6.72023850227
388,13,HEPTH,1.0,100000,256,6.20494849518,9.07427468966
389,14,HEPTH,1.0,100000,256,9.22402499154,8.53328147156
390,15,HEPTH,1.0,100000,256,6.25701192488,6.68209648208
391,16,HEPTH,1.0,100000,256,11.2690931194,8.33698491485
392,17,HEPTH,1.0,100000,256,10.6264441811,12.3387136324
393,18,HEPTH,1.0,100000,256,5.78067652307,9.00239930152
394,19,HEPTH,1.0,100000,256,6.58466327861,7.48062066924
395,20,HEPTH,1.0,100000,256,8.20133884882,8.42049368593
396,21,HEPTH,1.0,100000,256,7.72171163036,9.8851717735
397,22,HEPTH,1.0,100000,256,7.87689762472,13.847978764
398,23,HEPTH,1.0,100000,256,12.6671335758,7.34022760095
399,24,HEPTH,1.0,100000,256,8.12719318521,6.65736725463
400,0,HEPTH,1.0,100000,1024,13.3380159796,10.6238572042
401,1,HEPTH,1.0,100000,1024,15.4740294443,10.4287127684
402,2,HEPTH,1.0,100000,1024,11.6492904534,11.0700010891
